artist,track,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,unique
Charlie Puth,Attention,"['dance pop', 'pop', 'post-teen pop', 'viral pop']",0.775,0.613,3,-4.586,0,0.0542,0.109,2.33e-05,0.134,0.797,100.066,audio_features,5cF0dROlMOK5uNZtivgu50,spotify:track:5cF0dROlMOK5uNZtivgu50,https://api.spotify.com/v1/tracks/5cF0dROlMOK5uNZtivgu50,https://api.spotify.com/v1/audio-analysis/5cF0dROlMOK5uNZtivgu50,208787,4,Charlie Puth|Attention
Bruno Mars,That's What I Like,"['dance pop', 'pop', 'post-teen pop']",0.853,0.56,1,-4.961,1,0.0406,0.013,0.0,0.0944,0.86,134.066,audio_features,0KKkJNfGyhkQ5aFogxQAPU,spotify:track:0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU,https://api.spotify.com/v1/audio-analysis/0KKkJNfGyhkQ5aFogxQAPU,206693,4,Bruno Mars|That's What I Like
DJ Khaled,"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)","['dance pop', 'hip hop', 'miami hip hop', 'pop', 'pop rap', 'r&b', 'rap', 'southern hip hop', 'trap music', 'urban contemporary']",0.599,0.667,7,-4.267,1,0.0367,0.0533,0.0,0.134,0.817,80.984,audio_features,1jYiIOC5d6soxkJP81fxq2,spotify:track:1jYiIOC5d6soxkJP81fxq2,https://api.spotify.com/v1/tracks/1jYiIOC5d6soxkJP81fxq2,https://api.spotify.com/v1/audio-analysis/1jYiIOC5d6soxkJP81fxq2,288877,4,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne|I'm The One"
Ed Sheeran,Shape of You,"['pop', 'uk pop']",0.825,0.652,1,-3.183,0,0.0802,0.581,0.0,0.0931,0.931,95.977,audio_features,7qiZfU4dY1lWllzX7mPBI3,spotify:track:7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/tracks/7qiZfU4dY1lWllzX7mPBI3,https://api.spotify.com/v1/audio-analysis/7qiZfU4dY1lWllzX7mPBI3,233713,4,Ed Sheeran|Shape Of You
Sia,Cheap Thrills,"['australian dance', 'australian pop', 'dance pop', 'pop']",0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,audio_features,3S4px9f4lceWdKf0gWciFu,spotify:track:3S4px9f4lceWdKf0gWciFu,https://api.spotify.com/v1/tracks/3S4px9f4lceWdKf0gWciFu,https://api.spotify.com/v1/audio-analysis/3S4px9f4lceWdKf0gWciFu,211667,4,Sia Featuring Sean Paul|Cheap Thrills
Drake,One Dance,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",0.785,0.617,1,-5.871,1,0.0522,0.00902,0.00246,0.351,0.382,103.981,audio_features,12VWzyPDBCc8fqeWCAfNwR,spotify:track:12VWzyPDBCc8fqeWCAfNwR,https://api.spotify.com/v1/tracks/12VWzyPDBCc8fqeWCAfNwR,https://api.spotify.com/v1/audio-analysis/12VWzyPDBCc8fqeWCAfNwR,173987,4,Drake Featuring WizKid & Kyla|One Dance
Desiigner,Panda,"['hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'trap music', 'viral trap']",0.576,0.777,10,-5.035,0,0.458,0.0231,0.0,0.366,0.259,145.2,audio_features,5YEOzOojehCqxGQCcQiyR4,spotify:track:5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/tracks/5YEOzOojehCqxGQCcQiyR4,https://api.spotify.com/v1/audio-analysis/5YEOzOojehCqxGQCcQiyR4,246761,4,Desiigner|Panda
Fifth Harmony,Work from Home (feat. Ty Dolla $ign),"['dance pop', 'girl group', 'pop', 'post-teen pop', 'r&b', 'talent show', 'viral pop']",0.803,0.585,8,-5.861,1,0.0432,0.103,3.94e-06,0.0644,0.593,105.017,audio_features,4tCtwWceOPWzenK2HAIJSb,spotify:track:4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/tracks/4tCtwWceOPWzenK2HAIJSb,https://api.spotify.com/v1/audio-analysis/4tCtwWceOPWzenK2HAIJSb,214480,4,Fifth Harmony Featuring Ty Dolla $ign|Work From Home
Lukas Graham,7 Years - Spotify Sessions,"['danish pop', 'scandipop']",0.718,0.544,10,-6.138,1,0.0426,0.543,0.0,0.939,0.475,119.938,audio_features,6ptyHcWfL03bxM4tIrL0dM,spotify:track:6ptyHcWfL03bxM4tIrL0dM,https://api.spotify.com/v1/tracks/6ptyHcWfL03bxM4tIrL0dM,https://api.spotify.com/v1/audio-analysis/6ptyHcWfL03bxM4tIrL0dM,273091,4,Lukas Graham|7 Years
OMI,Cheerleader - Felix Jaehn Remix Radio Edit,"['dance pop', 'tropical house']",0.774,0.682,4,-6.108,1,0.0299,0.19,4.62e-05,0.151,0.616,118.014,audio_features,3F54TAXWrYALVTCjc63XGn,spotify:track:3F54TAXWrYALVTCjc63XGn,https://api.spotify.com/v1/tracks/3F54TAXWrYALVTCjc63XGn,https://api.spotify.com/v1/audio-analysis/3F54TAXWrYALVTCjc63XGn,181933,4,OMI|Cheerleader
