artist,track,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,unique
Santana,Apache/Smooth/Dame Tu Amor - Live From NY,"['blues-rock', 'classic rock', 'psychedelic rock', 'rock']",0.465,0.915,9,-5.837,0,0.125,0.642,0.00391,0.729,0.366,125.801,audio_features,2WCX7yVqYX4E1mm2pbpyc9,spotify:track:2WCX7yVqYX4E1mm2pbpyc9,https://api.spotify.com/v1/tracks/2WCX7yVqYX4E1mm2pbpyc9,https://api.spotify.com/v1/audio-analysis/2WCX7yVqYX4E1mm2pbpyc9,683627,4,Santana Featuring Rob Thomas|Smooth
Brian McKnight,Back At One - Live,"['dance pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.588,0.791,4,-4.454,1,0.0447,0.255,0.0,0.522,0.479,129.04,audio_features,7o11rJJ0plgHns8rG8W7mA,spotify:track:7o11rJJ0plgHns8rG8W7mA,https://api.spotify.com/v1/tracks/7o11rJJ0plgHns8rG8W7mA,https://api.spotify.com/v1/audio-analysis/7o11rJJ0plgHns8rG8W7mA,224627,4,Brian McKnight|Back At One
Jessica Simpson,I Wanna Love You Forever - Soul Solution Remix Radio Edit,"['dance pop', 'post-teen pop']",0.641,0.862,2,-5.143,1,0.0435,0.0321,4.38e-05,0.0845,0.496,129.952,audio_features,3QvPldJ4J3CTr06cbT2c1L,spotify:track:3QvPldJ4J3CTr06cbT2c1L,https://api.spotify.com/v1/tracks/3QvPldJ4J3CTr06cbT2c1L,https://api.spotify.com/v1/audio-analysis/3QvPldJ4J3CTr06cbT2c1L,242933,4,Jessica Simpson|I Wanna Love You Forever
Savage Garden,I Knew I Loved You,"['boy band', 'dance pop', 'europop', 'pop rock']",0.61,0.497,9,-9.88,1,0.0279,0.32,6.11e-05,0.0884,0.739,85.031,audio_features,6nozDLxeL0TE4MS9GqYU1v,spotify:track:6nozDLxeL0TE4MS9GqYU1v,https://api.spotify.com/v1/tracks/6nozDLxeL0TE4MS9GqYU1v,https://api.spotify.com/v1/audio-analysis/6nozDLxeL0TE4MS9GqYU1v,250360,4,Savage Garden|I Knew I Loved You
Whitney Houston,My Love Is Your Love - Live from Late Show with David Letterman,"['dance pop', 'pop', 'r&b', 'urban contemporary']",0.591,0.736,0,-6.916,1,0.119,0.446,0.0,0.982,0.561,81.91,audio_features,1Tmn4RzLBoZRryh3NJPlLd,spotify:track:1Tmn4RzLBoZRryh3NJPlLd,https://api.spotify.com/v1/tracks/1Tmn4RzLBoZRryh3NJPlLd,https://api.spotify.com/v1/audio-analysis/1Tmn4RzLBoZRryh3NJPlLd,226227,4,Whitney Houston|My Love Is Your Love
Marc Anthony,I Need to Know,"['latin', 'latin pop', 'salsa', 'tropical']",0.813,0.949,3,-2.563,0,0.0336,0.486,9.75e-06,0.112,0.792,115.061,audio_features,7ffwRz8lZyDOE4Vj58Lo72,spotify:track:7ffwRz8lZyDOE4Vj58Lo72,https://api.spotify.com/v1/tracks/7ffwRz8lZyDOE4Vj58Lo72,https://api.spotify.com/v1/audio-analysis/7ffwRz8lZyDOE4Vj58Lo72,227707,4,Marc Anthony|I Need To Know
Donell Jones,U Know What's Up,"['dance pop', 'hip hop', 'hip pop', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.827,0.487,10,-6.474,0,0.0531,0.0721,0.0014,0.0544,0.868,103.016,audio_features,1sZLO7n7ap5F6w9KhCRPPm,spotify:track:1sZLO7n7ap5F6w9KhCRPPm,https://api.spotify.com/v1/tracks/1sZLO7n7ap5F6w9KhCRPPm,https://api.spotify.com/v1/audio-analysis/1sZLO7n7ap5F6w9KhCRPPm,241800,4,Donell Jones|U Know What's Up
Kevon Edmonds,24/7,"['neo soul', 'new jack swing', 'quiet storm', 'r&b', 'urban contemporary']",0.696,0.627,4,-5.629,1,0.0334,0.0685,0.0,0.0993,0.322,116.047,audio_features,4rZB2G955dQMcjlb7e3VNB,spotify:track:4rZB2G955dQMcjlb7e3VNB,https://api.spotify.com/v1/tracks/4rZB2G955dQMcjlb7e3VNB,https://api.spotify.com/v1/audio-analysis/4rZB2G955dQMcjlb7e3VNB,274267,4,Kevon Edmonds|24/7
LFO,Girl On TV,['boy band'],0.688,0.716,4,-4.001,0,0.0297,0.131,0.0,0.134,0.352,96.043,audio_features,4DJwdQDai9DLYBL9TNrEDo,spotify:track:4DJwdQDai9DLYBL9TNrEDo,https://api.spotify.com/v1/tracks/4DJwdQDai9DLYBL9TNrEDo,https://api.spotify.com/v1/audio-analysis/4DJwdQDai9DLYBL9TNrEDo,247600,4,LFO|Girl On TV
Jennifer Lopez,Waiting for Tonight - Hex's Momentous Radio Mix,"['dance pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'urban contemporary']",0.633,0.968,10,-4.81,0,0.124,0.0924,0.0308,0.625,0.207,131.386,audio_features,5WD55ZJWhumwIDGau2Q9lM,spotify:track:5WD55ZJWhumwIDGau2Q9lM,https://api.spotify.com/v1/tracks/5WD55ZJWhumwIDGau2Q9lM,https://api.spotify.com/v1/audio-analysis/5WD55ZJWhumwIDGau2Q9lM,272067,4,Jennifer Lopez|Waiting For Tonight
