artist,track,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,unique
Squeeze,Hourglass,"['art rock', 'dance rock', 'jangle pop', 'new romantic', 'new wave', 'new wave pop', 'power pop', 'pub rock', 'rock']",0.742,0.612,5,-6.799,1,0.0315,0.305,0.0,0.272,0.911,125.919,audio_features,0J4BaiHYn4TFZIRB8uDh2F,spotify:track:0J4BaiHYn4TFZIRB8uDh2F,https://api.spotify.com/v1/tracks/0J4BaiHYn4TFZIRB8uDh2F,https://api.spotify.com/v1/audio-analysis/0J4BaiHYn4TFZIRB8uDh2F,195373,4,Squeeze|Hourglass
Poison,I Won't Forget You - Live,"['album rock', 'glam metal', 'hard rock', 'rock']",0.486,0.895,6,-4.169,1,0.0326,0.00281,0.000106,0.964,0.496,110.947,audio_features,3aMFLdZ74tP4z83oR1vON3,spotify:track:3aMFLdZ74tP4z83oR1vON3,https://api.spotify.com/v1/tracks/3aMFLdZ74tP4z83oR1vON3,https://api.spotify.com/v1/audio-analysis/3aMFLdZ74tP4z83oR1vON3,207107,4,Poison|I Won't Forget You
Lisa Lisa And Cult Jam,Someone To Love Me For Me,"['electro', 'freestyle', 'funk', 'new jack swing', 'quiet storm', 'urban contemporary']",0.527,0.49,6,-11.838,1,0.0461,0.671,1.84e-06,0.323,0.347,143.922,audio_features,41cTtrVAv1pzaD4xAk58X9,spotify:track:41cTtrVAv1pzaD4xAk58X9,https://api.spotify.com/v1/tracks/41cTtrVAv1pzaD4xAk58X9,https://api.spotify.com/v1/audio-analysis/41cTtrVAv1pzaD4xAk58X9,291333,3,Lisa Lisa And Cult Jam Featuring Full Force|Someone To Love Me For Me
Motley Crue,You're All I Need,"['album rock', 'glam metal', 'hard rock', 'rock', 'sleaze rock']",0.531,0.79,6,-5.202,1,0.0243,0.114,1.27e-06,0.0355,0.415,92.162,audio_features,4n4W0yJsGYXzFwStMYMLxj,spotify:track:4n4W0yJsGYXzFwStMYMLxj,https://api.spotify.com/v1/tracks/4n4W0yJsGYXzFwStMYMLxj,https://api.spotify.com/v1/audio-analysis/4n4W0yJsGYXzFwStMYMLxj,275467,4,Motley Crue|You're All I Need
Fleetwood Mac,Little Lies - 2018 Remaster,"['album rock', 'classic rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.643,0.655,2,-10.249,1,0.0255,0.213,0.000249,0.0462,0.878,124.731,audio_features,3OKks9E1lZ0E8FOVMFZY49,spotify:track:3OKks9E1lZ0E8FOVMFZY49,https://api.spotify.com/v1/tracks/3OKks9E1lZ0E8FOVMFZY49,https://api.spotify.com/v1/audio-analysis/3OKks9E1lZ0E8FOVMFZY49,219800,4,Fleetwood Mac|Little Lies
Sammy Hagar,Eagles Fly,"['album rock', 'classic rock', 'glam metal', 'hard rock', 'mellow gold', 'metal', 'rock', 'soft rock', 'southern rock']",0.411,0.519,6,-5.317,1,0.028,0.695,6.83e-06,0.083,0.331,81.208,audio_features,2eIrWIPTDNQWuXeNwK69ZR,spotify:track:2eIrWIPTDNQWuXeNwK69ZR,https://api.spotify.com/v1/tracks/2eIrWIPTDNQWuXeNwK69ZR,https://api.spotify.com/v1/audio-analysis/2eIrWIPTDNQWuXeNwK69ZR,287000,4,Sammy Hagar|Eagles Fly
Smokey Robinson,What's Too Much,"['classic soul', 'disco', 'funk', 'motown', 'quiet storm', 'soul', 'southern soul']",0.814,0.336,8,-16.543,0,0.0484,0.3,0.0,0.0474,0.931,137.735,audio_features,6LH38mCJXPW2AFkLqAA1i0,spotify:track:6LH38mCJXPW2AFkLqAA1i0,https://api.spotify.com/v1/tracks/6LH38mCJXPW2AFkLqAA1i0,https://api.spotify.com/v1/audio-analysis/6LH38mCJXPW2AFkLqAA1i0,263200,4,Smokey Robinson|What's Too Much
Kool,Special Way,"['disco', 'funk', 'motown', 'post-disco', 'quiet storm', 'soul']",0.628,0.186,6,-19.648,1,0.0355,0.0313,0.000232,0.0742,0.15,76.009,audio_features,0i74hCilU2AmXjYSbr2N6B,spotify:track:0i74hCilU2AmXjYSbr2N6B,https://api.spotify.com/v1/tracks/0i74hCilU2AmXjYSbr2N6B,https://api.spotify.com/v1/audio-analysis/0i74hCilU2AmXjYSbr2N6B,327800,4,Kool & The Gang|Special Way
Swing Out Sister,Breakout (Fabulous Forty Mix),"['new romantic', 'new wave pop']",0.417,0.497,4,-9.804,1,0.028,0.31,0.000292,0.115,0.368,140.803,audio_features,16sNgtelwEO3nlp98B1l41,spotify:track:16sNgtelwEO3nlp98B1l41,https://api.spotify.com/v1/tracks/16sNgtelwEO3nlp98B1l41,https://api.spotify.com/v1/audio-analysis/16sNgtelwEO3nlp98B1l41,195080,4,Swing Out Sister|Breakout
Bruce Springsteen,Brilliant Disguise (Introduction) - Springsteen on Broadway,"['heartland rock', 'mellow gold', 'permanent wave', 'rock', 'singer-songwriter', 'soft rock']",0.655,0.265,9,-24.64,1,0.943,0.76,0.0,0.44,0.381,108.02,audio_features,3nC2MUHFpwh4HRbWbu3OJt,spotify:track:3nC2MUHFpwh4HRbWbu3OJt,https://api.spotify.com/v1/tracks/3nC2MUHFpwh4HRbWbu3OJt,https://api.spotify.com/v1/audio-analysis/3nC2MUHFpwh4HRbWbu3OJt,103347,5,Bruce Springsteen|Brilliant Disguise
Expose,Let Me Be The One (2012 Re-Recorded Original),"['freestyle', 'new wave pop']",0.677,0.87,6,-6.125,1,0.0354,0.029,0.0146,0.261,0.897,105.475,audio_features,544LwN1UXcSzO6XKEFp7Yp,spotify:track:544LwN1UXcSzO6XKEFp7Yp,https://api.spotify.com/v1/tracks/544LwN1UXcSzO6XKEFp7Yp,https://api.spotify.com/v1/audio-analysis/544LwN1UXcSzO6XKEFp7Yp,263886,4,Expose|Let Me Be The One
Pet Shop Boys,"It's a Sin - Live at The Royal Opera House, 2018","['art pop', 'dance pop', 'dance rock', 'europop', 'new romantic', 'new wave', 'new wave pop', 'permanent wave', 'synthpop']",0.515,0.942,0,-5.971,0,0.0643,0.000784,0.00593,0.968,0.148,127.238,audio_features,7IWZEj9FJkroEq4rUSw0OW,spotify:track:7IWZEj9FJkroEq4rUSw0OW,https://api.spotify.com/v1/tracks/7IWZEj9FJkroEq4rUSw0OW,https://api.spotify.com/v1/audio-analysis/7IWZEj9FJkroEq4rUSw0OW,343599,4,Pet Shop Boys|It's A Sin
Whitesnake,"Here I Go Again - Starkers Live In Tokyo, Japan, 7/5/1997 [Remixed]","['album rock', 'british blues', 'classic rock', 'glam metal', 'hard rock', 'metal', 'rock']",0.283,0.731,3,-7.145,0,0.217,0.266,1.35e-06,0.338,0.687,177.253,audio_features,7cfqQng5oOoe5khoD3XK3H,spotify:track:7cfqQng5oOoe5khoD3XK3H,https://api.spotify.com/v1/tracks/7cfqQng5oOoe5khoD3XK3H,https://api.spotify.com/v1/audio-analysis/7cfqQng5oOoe5khoD3XK3H,303560,4,Whitesnake|Here I Go Again
Michael Jackson,2 Bad - Refugee Camp Mix,['pop'],0.85,0.922,5,-6.902,0,0.0869,0.192,0.0,0.0517,0.813,103.867,audio_features,7hYyDytE51gtqG3JzvQdz3,spotify:track:7hYyDytE51gtqG3JzvQdz3,https://api.spotify.com/v1/tracks/7hYyDytE51gtqG3JzvQdz3,https://api.spotify.com/v1/audio-analysis/7hYyDytE51gtqG3JzvQdz3,212440,4,Michael Jackson|Bad
