artist,track,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,unique
Faith Hill,Breathe,"['contemporary country', 'country', 'country dawn', 'country road', 'pop rock']",0.529,0.496,7,-9.007,1,0.029,0.173,0,0.251,0.278,136.859,audio_features,3y4LxiYMgDl4RethdzpmNe,spotify:track:3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/tracks/3y4LxiYMgDl4RethdzpmNe,https://api.spotify.com/v1/audio-analysis/3y4LxiYMgDl4RethdzpmNe,250547,4,Faith Hill|Breathe
Santana,Apache/Smooth/Dame Tu Amor - Live From NY,"['blues-rock', 'classic rock', 'psychedelic rock', 'rock']",0.465,0.915,9,-5.837,0,0.125,0.642,0.00391,0.729,0.366,125.801,audio_features,2WCX7yVqYX4E1mm2pbpyc9,spotify:track:2WCX7yVqYX4E1mm2pbpyc9,https://api.spotify.com/v1/tracks/2WCX7yVqYX4E1mm2pbpyc9,https://api.spotify.com/v1/audio-analysis/2WCX7yVqYX4E1mm2pbpyc9,683627,4,Santana Featuring Rob Thomas|Smooth
Lonestar,Amazed,"['contemporary country', 'country', 'country road']",0.561,0.543,1,-8.498,1,0.0324,0.26,0,0.124,0.243,139.803,audio_features,6qc34bnVOyqGDPni8H5W0U,spotify:track:6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/tracks/6qc34bnVOyqGDPni8H5W0U,https://api.spotify.com/v1/audio-analysis/6qc34bnVOyqGDPni8H5W0U,240867,4,Lonestar|Amazed
Next,Too Close,"['boy band', 'dance pop', 'hip pop', 'minneapolis sound', 'neo soul', 'new jack swing', 'quiet storm', 'r&b', 'southern hip hop', 'urban contemporary']",0.847,0.402,7,-9.952,1,0.0641,0.0118,0,0.283,0.752,99.693,audio_features,5IFCyWplye09HytIP80RCF,spotify:track:5IFCyWplye09HytIP80RCF,https://api.spotify.com/v1/tracks/5IFCyWplye09HytIP80RCF,https://api.spotify.com/v1/audio-analysis/5IFCyWplye09HytIP80RCF,259440,4,Next|Too Close
Savage Garden,Truly Madly Deeply,"['boy band', 'dance pop', 'europop', 'pop rock']",0.555,0.698,0,-8.874,1,0.0287,0.403,0,0.0851,0.816,168.12,audio_features,013AWvizllIUEC2FOBzOnh,spotify:track:013AWvizllIUEC2FOBzOnh,https://api.spotify.com/v1/tracks/013AWvizllIUEC2FOBzOnh,https://api.spotify.com/v1/audio-analysis/013AWvizllIUEC2FOBzOnh,277267,4,Savage Garden|Truly Madly Deeply
Paula Cole,I Don't Want to Wait (Live),"['ectofolk', 'folk', 'folk-pop', 'lilith', 'new wave pop', 'pop rock']",0.417,0.522,6,-7.243,1,0.08,0.384,2.72e-06,0.704,0.421,172.829,audio_features,0tw5iNHsWIRNxk47qj9lG8,spotify:track:0tw5iNHsWIRNxk47qj9lG8,https://api.spotify.com/v1/tracks/0tw5iNHsWIRNxk47qj9lG8,https://api.spotify.com/v1/audio-analysis/0tw5iNHsWIRNxk47qj9lG8,352600,4,Paula Cole|I Don't Want To Wait
LeAnn Rimes,How Do I Live (Live) [feat. Bryan White],"['contemporary country', 'country', 'country dawn', 'dance pop', 'pop rock']",0.556,0.541,2,-6.69,1,0.0325,0.599,0,0.73,0.421,127.881,audio_features,4DGwFVtFniC7HQcAImISRq,spotify:track:4DGwFVtFniC7HQcAImISRq,https://api.spotify.com/v1/tracks/4DGwFVtFniC7HQcAImISRq,https://api.spotify.com/v1/audio-analysis/4DGwFVtFniC7HQcAImISRq,289873,4,LeAnn Rimes|How Do I Live
Duncan Sheik,Barely Breathing - 2006 Remaster,['pop rock'],0.468,0.825,0,-6.173,1,0.045,0.0193,0,0.205,0.52,187.946,audio_features,0GeqhhobZ6pnRZtA2xUs2F,spotify:track:0GeqhhobZ6pnRZtA2xUs2F,https://api.spotify.com/v1/tracks/0GeqhhobZ6pnRZtA2xUs2F,https://api.spotify.com/v1/audio-analysis/0GeqhhobZ6pnRZtA2xUs2F,254259,4,Duncan Sheik|Barely Breathing
Everything But The Girl,Missing - CL McSpadden Powerhouse Mix,"['electronic', 'new romantic', 'new wave pop', 'pop rock', 'trip hop']",0.729,0.886,2,-5.739,1,0.0422,0.00014,0.242,0.0496,0.622,123.63,audio_features,3PCaQC1kK2m4wENHIENqlB,spotify:track:3PCaQC1kK2m4wENHIENqlB,https://api.spotify.com/v1/tracks/3PCaQC1kK2m4wENHIENqlB,https://api.spotify.com/v1/audio-analysis/3PCaQC1kK2m4wENHIENqlB,376920,4,Everything But The Girl|Missing
The Righteous Brothers,Unchained Melody,"['adult standards', 'brill building pop', 'bubblegum pop', 'christmas', 'folk rock', 'mellow gold', 'motown', 'rock-and-roll', 'rockabilly']",0.191,0.373,5,-7.623,1,0.0284,0.65,0.00584,0.192,0.12,174.165,audio_features,3UtvfryMROWr6eBzWRQrTd,spotify:track:3UtvfryMROWr6eBzWRQrTd,https://api.spotify.com/v1/tracks/3UtvfryMROWr6eBzWRQrTd,https://api.spotify.com/v1/audio-analysis/3UtvfryMROWr6eBzWRQrTd,249000,3,The Righteous Brothers|Unchained Melody
